"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.353389584E-1,-4.222718811E-1,-5.367837524E-1,9.659562836E0,9.683677221E0
6.452949584E-1,-2.897973633E-1,-4.529580688E-1,9.704319763E0,9.719206531E0
6.552509584E-1,-2.404000854E-1,-4.179309082E-1,9.765841827E0,9.777736192E0
6.652069584E-1,-2.703378296E-1,-4.098477173E-1,9.774972839E0,9.787295423E0
6.751619583E-1,-3.564088440E-1,-4.451742554E-1,9.710457001E0,9.727187802E0
6.851179583E-1,-4.032614136E-1,-4.764591980E-1,9.617350616E0,9.637586109E0
6.950739584E-1,-3.763174438E-1,-4.863386536E-1,9.602980499E0,9.622649041E0
7.050299584E-1,-2.833607483E-1,-5.132826233E-1,9.658515015E0,9.676293952E0
7.149859584E-1,-2.040257263E-1,-5.162763977E-1,9.766141205E0,9.781905839E0
7.249409583E-1,-1.811233521E-1,-5.272036743E-1,9.856253815E0,9.872005300E0
7.348969583E-1,-1.993853760E-1,-5.647755432E-1,9.881551208E0,9.899685865E0
7.448529584E-1,-2.315684509E-1,-6.068380737E-1,9.860295410E0,9.881664939E0
7.548089584E-1,-2.722837830E-1,-6.489006042E-1,9.808802490E0,9.834013257E0
7.647639584E-1,-2.383044434E-1,-6.643185425E-1,9.767338715E0,9.792804180E0
7.747199584E-1,-2.260299683E-1,-6.517446899E-1,9.773775330E0,9.798088838E0
7.846759583E-1,-2.345622253E-1,-6.409671021E-1,9.844428406E0,9.868061051E0
7.946319584E-1,-2.451901245E-1,-5.803431702E-1,9.900561676E0,9.920586570E0
8.045869584E-1,-3.056643677E-1,-5.254074097E-1,9.961185608E0,9.979714543E0
8.145429584E-1,-4.073030090E-1,-5.001100159E-1,9.981094208E0,1.000191218E1
8.244989584E-1,-4.257147217E-1,-5.008584595E-1,9.977801056E0,9.999430290E0
8.344549583E-1,-4.245172119E-1,-5.192701721E-1,9.987381134E0,1.000987704E1
8.444099583E-1,-3.914360046E-1,-5.655239868E-1,1.000624191E1,1.002985128E1
8.543659584E-1,-3.465293884E-1,-5.897735596E-1,1.000758911E1,1.003093990E1
8.643219584E-1,-2.833607483E-1,-5.499563599E-1,1.002674927E1,1.004581735E1
8.742779584E-1,-2.264790344E-1,-4.848417664E-1,1.001237915E1,1.002666946E1
