Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01808316668,2.326611786,0.4894821167,8.984616394,9.886335301058823
0.0280381667,2.160307617,0.4364923096,9.192384338,9.886335301058823
0.03799416672,1.965861969,0.3782633972,9.308991852,9.886335301058823
0.04795016674,1.725611572,0.3748205566,9.3455159,9.886335301058823
0.05790616665,1.417851562,0.4953199768,9.365574188,9.886335301058823
0.06786116667,1.086740112,0.6722520447,9.373358002,9.886335301058823
0.07781716669,0.7427554321,0.8304730225,9.726324005,9.886335301058823
0.08777316671,0.6673123169,0.8285270691,10.45695465,9.886335301058823
0.09772916674,0.4697232056,0.872535553,11.02442459,9.886335301058823
0.1076841668,0.2076182556,0.8183482361,11.13699051,9.886335301058823
0.1176401667,0.2305206299,0.5990542603,11.00930603,9.886335301058823
0.1275961667,0.4352947998,0.4090992737,10.86665268,9.886335301058823
0.1375521667,0.6659651184,0.3610491943,10.64361649,9.886335301058823
0.1475071667,0.8978329468,0.4450245667,10.3500769,9.886335301058823
0.1574631667,1.076112213,0.5243595886,10.04980133,9.886335301058823
0.1674191667,1.144519958,0.503253479,9.777517548,9.886335301058823
0.1773751667,1.093925171,0.5195695496,9.526489563,9.886335301058823
0.1873301667,1.094972992,0.5554948425,9.325008545,9.886335301058823
0.1972861667,1.159488831,0.550405426,9.188791809,9.886335301058823
0.2072421667,1.225351868,0.5159770203,9.178014221,9.886335301058823
0.2171981668,1.226549377,0.4927752686,9.236243134,9.886335301058823
0.2271531667,1.11039093,0.4173321533,9.347162476,9.886335301058823
0.2371091667,1.003363495,0.3661386108,9.465715942,9.886335301058823
0.2470649583,0.8788224792,0.3483256531,9.64384552,9.886335301058823
0.2570209584,0.7574249268,0.2826123047,9.766590271,9.886335301058823
0.2669769584,0.6584806824,0.2406994629,9.848170624,9.886335301058823
0.2769319584,0.5839356995,0.2115101624,9.848170624,9.886335301058823
0.2868879584,0.6051914978,0.1884580994,9.782606964,9.886335301058823
0.2968439583,0.6649172974,0.1645079041,9.782008209,9.886335301058823
0.3067999583,0.688717804,0.09355545044,9.796827393,9.886335301058823
0.3167549584,0.673150177,0.01526824951,9.834399261,9.886335301058823
0.3267109584,0.5155279541,0.03936813354,9.85685257,9.886335301058823
0.3366669584,0.3594026184,0.1143621826,9.800719299,9.886335301058823
0.3466229584,0.2188449097,0.0817300415,9.890382843,9.886335301058823
0.3565779583,0.05763015747,-0.2140548706,10.14215927,9.886335301058823
0.3665339584,-0.05284011841,-0.4586462402,10.19709503,9.886335301058823
0.3764899584,-0.05718109131,-0.549357605,10.11237122,9.886335301058823
0.3864459584,0.003891906738,-0.5945635986,10.11192215,9.886335301058823
0.3964009584,0.03787124634,-0.650098114,10.10488678,9.886335301058823
0.4063569583,-0.02903961182,-0.7283853149,10.07030869,9.886335301058823
0.4163129583,-0.08307723999,-0.7734416199,10.03213806,9.886335301058823
0.4262689584,-0.09714797974,-0.8039781189,10.00384689,9.886335301058823
0.4362239584,-0.09849517822,-0.7737409973,9.913584595,9.886335301058823
0.4461799584,-0.1447489929,-0.7177574158,9.727371826,9.886335301058823
0.4561359583,-0.1338217163,-0.6457571411,9.560468903,9.886335301058823
0.4660919583,-0.07933502197,-0.5929170227,9.472302246,9.886335301058823
0.4760469584,-0.03667373657,-0.5586383057,9.493857422,9.886335301058823
0.4860029584,-0.04805007935,-0.54292099,9.585616608,9.886335301058823
0.4959589584,-0.08442443848,-0.5430706787,9.704020386,9.886335301058823
0.5059149584,-0.1191522217,-0.5090913391,9.757159882,9.886335301058823
0.5158699583,-0.1528321838,-0.5101391602,9.732012177,9.886335301058823
0.5258259583,-0.1588197327,-0.4981640625,9.711953888,9.894808775862746
0.5357819584,-0.1788780212,-0.4948709106,9.707912292,9.900088376392157
0.5457379584,-0.2284249878,-0.5251080322,9.747579803,9.90484459817647
0.5556929584,-0.2712359619,-0.5189707947,9.798623657,9.910829353431373
0.5656489583,-0.277073822,-0.4716691589,9.859546967,9.91846618872549
0.5756049583,-0.3082090759,-0.3993695068,9.935139771,9.928032411313726
0.5855609584,-0.3829037476,-0.3589535522,9.940678253,9.931259723313726
0.5955159584,-0.4649331665,-0.384250946,9.928852844,9.92020533590196
0.6054719584,-0.5882766724,-0.4644841003,9.84861969,9.896837305666667
0.6154279584,-0.6444099426,-0.5381309509,9.717941437,9.86909599745098
0.6253839583,-0.5447172546,-0.5755531311,9.658515015,9.842879677411766
0.6353389584,-0.4222718811,-0.5367837524,9.659562836,9.819362377627451
0.6452949584,-0.2897973633,-0.4529580688,9.704319763,9.800708767254902
0.6552509584,-0.2404000854,-0.4179309082,9.765841827,9.788537455333334
0.6652069584,-0.2703378296,-0.4098477173,9.774972839,9.781997293039217
0.6751619583,-0.356408844,-0.4451742554,9.710457001,9.779449379392156
0.6851179583,-0.4032614136,-0.476459198,9.617350616,9.780124456058823
0.6950739584,-0.3763174438,-0.4863386536,9.602980499,9.784382390372548
0.7050299584,-0.2833607483,-0.5132826233,9.658515015,9.792192105941176
0.7149859584,-0.2040257263,-0.5162763977,9.766141205,9.802154650392156
0.7249409583,-0.1811233521,-0.5272036743,9.856253815,9.812775335254901
0.7348969583,-0.199385376,-0.5647755432,9.881551208,9.822139127098039
