Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.9392370833,-1.345764603,-0.5980514628,3.712501298,7.0103698104
0.9492540833,-1.235106047,-0.5258751869,3.646212584,6.5641129737
0.9592710834,-0.9699908039,-0.5656210506,3.367019731,6.0139398711
0.9692870833,-0.8684155317,-0.9037444818,3.120998132,5.4981094071
0.9793040833,-0.750615698,-0.9432313138,3.065113953,5.0048811424999995
0.9893210834,-0.5499045389,-0.9597695786,2.990833265,4.5071066462
0.9993370833,0.07540496215,-1.275292352,2.853995554,4.0561591652999995
1.009354083,1.017930079,-1.573048945,2.588551844,3.7211255384
1.019371083,1.630367154,-1.466569394,0.3428443269,3.4200979816999997
1.029387083,1.526333639,-1.240504342,-0.4152308102,3.1826596341999998
1.039404083,0.6593013391,-1.704242338,2.725396571,3.1113970727
1.049420083,0.9817063583,-1.561452162,2.199094537,3.0098671748999997
1.059437083,1.33187425,-0.3940982419,0.404846009,2.7996113496
1.069454083,1.163319707,0.1248713833,-1.187011675,2.6299555869
1.079470083,1.12386847,0.7278526336,-3.194224568,2.6469433399
1.089487083,1.43962981,1.097638153,-3.373466286,2.7109130386
1.099504083,1.842754837,1.077611439,-1.957256622,2.6878433113
1.109520083,2.38465885,1.344513445,-1.049869325,2.6614911714000002
1.119537083,2.931415321,1.62860451,-0.79833731,2.784250448
1.129554083,3.366630891,1.687462583,-0.5888392476,2.9643912439
1.139570083,3.884078486,1.557207084,-0.4437581328,3.0570689242
1.149587083,4.256103196,1.633755907,-0.6623298313,3.2307277276
1.159604083,3.849495421,1.767668256,-0.9148992151,3.5194146457000004
1.169620083,2.957293343,1.666599718,-0.9553395818,3.7053887132
1.179637083,1.631723561,1.135434555,-0.7546093462,3.5716678403000004
1.189653083,1.018102352,0.6967431074,-0.5533288877,3.3240244767
1.199670083,0.97809848,0.6309221703,-0.6036611353,3.1655229216
1.209687083,0.8697136136,0.7314445782,-0.7622583814,3.0091618802999998
1.219703083,1.256448238,0.7771598643,-1.249189358,2.857917469
1.229720083,0.8554072311,0.3961564618,-1.992988957,2.6972244226
1.239737083,0.6477948958,0.7019740266,-2.591485392,2.5526090969
1.249753083,0.774307154,0.873547706,-2.595277897,2.3765046117
1.259770083,1.073468321,0.7243454736,-2.257613472,2.2034079103
1.269787083,1.104816926,0.2924683714,-2.060590956,2.0863943647
1.279803083,1.538622147,-0.1574532384,-2.117673814,2.1359984408
1.289820083,1.893888007,-0.3790627116,-2.103246394,2.2863437619
1.299836083,2.056087576,-0.7005133921,-1.880903241,2.4425603178000004
1.309853083,2.253016683,-1.171671504,-1.533666193,2.6023880987999997
1.319870083,2.203666183,-1.6760342,-1.538908953,2.7256734439
1.329886083,2.409762701,-1.780742045,-2.008883735,2.8659480997999998
1.339903083,2.717072767,-1.781544868,-2.614560844,3.0067970405
1.349920083,3.188675268,-2.072227499,-3.135399824,3.2150996661
1.359936083,3.490669631,-2.358955075,-3.355642803,3.4934411539
1.369953083,3.827319271,-2.644508529,-3.444911368,3.8366816525999994
1.379970083,4.407804529,-3.058089693,-3.308218376,4.2047245935
1.389986083,5.429410459,-3.580771131,-2.820124388,4.6280671267
1.400003083,6.435742586,-4.028514653,-2.526702921,5.1409339594
1.410020083,6.82704235,-3.434760309,-2.488301917,5.6479957981
1.420036083,6.296725034,-2.018890368,-2.808953868,6.049674181
1.430053083,5.364477714,-0.5791719729,-3.72668372,6.3446835862
1.440069083,4.909909322,-0.02812627673,-4.881790647,6.620028954
1.450086083,4.620828828,-0.4668510532,-4.537582603,6.776459383400001
1.460103083,3.344031402,-0.4610225487,-2.548506019,6.6608174592
1.470119083,1.776686562,-0.04558372378,-0.8102913576,6.2772730718
1.480136083,0.3989907534,-0.2069920188,0.4684964232,5.711920859729999
1.490153083,0.4206929136,-1.711611584,1.886661433,5.26121136393
1.500169083,0.9764331199,-3.921371443,2.423854491,4.9322404330300005
1.510186083,0.7622055372,-5.064613785,4.389342238,4.80303234343
1.520203083,0.9992012275,-5.603792557,5.207315083,4.85607011023
1.530219083,1.381814588,-7.332008479,3.788785243,5.03711225353
1.540236083,0.4882532512,-8.89567849,2.365653645,5.26650576403
1.550253083,-0.6177492705,-9.358600799,1.495937619,5.56695284423
1.560269083,-1.737316821,-9.143832568,1.566499479,6.0878193643300005
1.570286083,-2.632102491,-8.903005636,2.154894119,6.845566520229999
1.580302083,-3.817920164,-8.103259147,2.625033792,7.714076507
1.590319083,-4.714098642,-6.033017362,2.251305496,8.2539389508
1.600336083,-5.895358118,-3.416594179,2.108250002,8.4959639578
1.610352083,-5.814290566,-0.8904736412,2.698347352,8.4685924649
1.620369083,-4.908845714,0.7101379091,2.208102904,8.240044918399999
1.630386083,-4.772301534,2.292336577,2.127200682,7.9738163601
1.640402083,-4.75927803,3.685976574,2.09788172,7.6895179752
1.650419083,-4.928906926,3.695629742,1.016325603,7.3641436059
1.660436083,-4.687607831,3.852798221,0.6243700728,7.030291706
1.670452083,-3.755211408,4.495104336,1.435829119,6.6802861748
1.680469083,-2.162893256,5.27811317,1.005196012,6.326048746900001
1.690485083,-1.264971724,6.115874746,1.414844924,6.168356826
1.700502083,-0.8801003882,6.602358996,3.053028051,6.1878152402
1.710519083,-1.714183774,6.661090769,3.29734694,6.3034327357
1.720535083,-3.304530829,6.533128547,3.216075321,6.5601626382
1.730552083,-4.820992176,7.154762415,3.502591811,6.920728122600001
1.740569083,-6.145019608,7.673327998,3.469954115,7.3257523686
1.750585083,-7.05416107,7.766985775,2.984547508,7.7922222024
1.760602083,-7.253500838,7.601327723,2.821379786,8.2701468065
1.770619083,-6.637717109,6.82691722,2.956266865,8.6641017207
1.780635083,-5.415404039,5.647179481,2.733102324,8.913680678400002
1.790652083,-4.029144106,4.611312484,2.179169858,8.9232992872
1.800668083,-2.493219425,3.595665159,1.53518647,8.6542869724
1.810685083,-0.4579211855,2.658269366,0.2502526438,8.1624225294
1.820702083,1.667502089,1.054431322,-1.097612717,7.5885359136
1.830718083,4.230279261,-1.072261822,-2.331557069,7.1521880535
1.840735083,6.164551647,-3.485631085,-3.751644606,6.9110946124999995
1.850752083,6.920619435,-5.228255716,-5.801223793,6.8637214685000005
1.860768083,5.968324937,-5.897237998,-7.32167294,6.889393150500001
1.870785083,5.568576531,-4.818550671,-5.629056036,6.8192662634
1.880802083,6.28444705,-2.668879139,-3.791341353,6.7714598354
1.890818083,6.649585787,-1.301974951,-3.376069174,6.8785165244
1.900835083,6.412567146,-1.440177986,-2.992913704,7.1369847483
1.910852208,5.818103535,-1.891935622,-2.283352623,7.519103647500001
1.920869208,4.864880499,-1.93910511,-1.650845565,7.842447887800001
1.930886208,3.879279384,-1.537975007,-1.028318242,7.7774495825
1.940902208,2.066742811,-1.149963716,-0.8485032043,7.2273101013000005
1.950919208,-0.265560362,-2.138098138,-1.396751592,6.4406024079
1.960936208,-1.640008043,-4.060925184,-1.973425635,5.8073921183
1.970952208,-1.701217866,-6.185298153,-3.826905873,5.6274710929000005
1.980969208,-0.5493979508,-7.639651544,-2.054567446,5.6395163182
1.990986208,-1.046206629,-8.071432752,1.627116394,5.7124833102
2.001002208,-3.414780665,-7.60583885,0.3303556976,5.824693198
2.011019208,-6.673690934,-4.34634006,0.2796299323,5.9685865761
2.021036208,-9.979749348,2.139818389,2.487073417,6.4699963272000005
2.031052208,-11.78290786,6.803108527,0.4803440881,7.4016429953
2.041069208,-11.14553914,8.133156545,-0.2044376627,8.5302726675
2.051085208,-8.575420641,6.227647197,3.856325262,9.4013035109
2.061102208,-5.383560103,2.201522886,8.72304588,9.9693694535
2.071119208,-3.713817506,-2.740737911,8.174834329,10.1611802474
2.081135208,-3.023834365,-4.667648653,6.62681556,10.233295948599999
2.091152208,-3.011759572,-4.504434738,6.280900129,10.2328153985
2.101169208,-2.56767173,-3.954805822,5.90102407,10.1537885006
2.111185208,-1.484820893,-3.464856513,5.52938089,10.0260839243
2.121202208,-1.439931526,-2.828056721,4.652321931,9.5387257526
2.131219208,-1.060872834,-1.5155714,3.953175033,8.6137559923
2.141235208,-1.14946356,-0.3841825336,3.096662021,7.5663919526
2.151252208,-1.473507846,0.5640247607,2.475141588,6.732119363600001
2.161268208,-0.9374030285,0.8551699072,2.426920624,5.9575484121999995
2.171285208,-0.5917266027,0.7912183249,2.381381339,5.2765825115
2.181302208,-0.1442780728,0.596776185,2.31631367,4.6510815697
2.191318208,0.6972086189,0.3135201019,2.174421626,4.0520503221999995
2.201335208,1.902571122,0.3441396314,-1.543729252,3.5441121211000004
2.211352208,3.952613701,1.147357612,-8.895213636,3.8550283409
2.221368208,3.068768463,1.0121618,-1.63241631,3.6538943127000003
2.231385208,2.991222689,1.439224305,1.501895932,3.5817727247
2.241402208,3.177407683,1.578164089,1.432812248,3.6318499655
2.251418208,2.335149305,1.291100884,-0.02695856949,3.6051696081999998
2.261435208,1.575064919,2.161389352,-2.040817426,3.6677216049
2.271451208,1.782690922,2.880904441,-1.935272845,3.8000661207
2.281468208,2.085179813,2.421462395,-0.8358928797,3.890741336399999
2.291485208,2.271524875,0.8892492342,-0.2216696265,3.9051960348000003
2.301501208,2.52528614,0.001122080684,-0.05018087782,3.910361735
2.311518208,2.496998481,-0.1186639792,0.1853016993,3.1809046953999998
2.321535208,1.654081121,0.6106551361,0.3858090828,2.9993662902000002
2.331551208,1.519718538,1.832253091,0.304500187,2.8750126504
2.341568208,1.464106839,2.65399739,-0.008091961741,2.7955038688
2.351585208,0.9858714031,3.008105355,-0.6306508595,2.8514343779
2.361601208,0.03841262542,2.935180635,-1.699017851,2.8541883577
2.371618208,0.1359689235,2.422307902,-2.259202891,2.7955358926
2.381634208,0.1632368838,2.002877768,-2.216970499,2.7644481098
2.391651208,0.1381007635,1.378909691,-2.030742089,2.7653578617
2.401668208,0.02374203215,0.6981534559,-1.955634166,2.7204446512000002
2.411684208,-0.1964827816,0.07356089652,-1.814109766,2.6523972798999997
2.421701208,-0.4168414623,-0.4973109537,-1.666075953,2.6507037011000003
2.431718208,-0.1576693295,-1.0787534,-1.831528767,2.6238605602
2.441734208,0.2378409784,-1.559708523,-2.756715428,2.6383814598
2.451751208,1.046756121,-2.063248515,-3.977817247,2.7757774728999998
2.461768208,1.834206938,-2.238161539,-3.948340555,2.9261314573
2.471784208,2.665816952,-2.361899148,-3.093070076,3.0663415459
2.481801208,3.463633567,-2.175730818,-2.49645352,3.2463194348999997
2.491817208,4.073186211,-1.746329427,-2.559932063,3.512264726
2.501834208,4.39195799,-1.590708121,-3.224569863,3.872204043599999
2.511851208,4.7766887,-2.101778158,-3.559207769,4.3212656941
2.521867208,5.184770558,-2.806981602,-3.14452879,4.8106668369
2.531884208,5.482965108,-3.285320095,-3.028310409,5.304819097099999
2.541901208,5.996585115,-3.749457455,-3.2792884,5.7667501722
2.551917208,6.541905802,-4.372815667,-3.630870659,6.1731891932
2.561934208,7.122898598,-4.681698343,-3.202435813,6.594215223399999
2.571951208,7.276350587,-4.036588488,-2.439606305,6.9896199897
2.581967208,5.372881917,-2.603186256,-2.331465998,7.151362550100001
2.591984208,2.878424052,-1.901899277,-2.410288219,7.060420795899999
2.602000208,1.969645848,-2.4698253,-2.740094132,6.910998664399999
2.612017208,1.581853244,-3.063226472,-2.022754793,6.679031202100001
2.622034208,-0.02987960089,-3.058518294,-0.155380437,6.317092572199999
2.632050208,-1.924107587,-1.422132894,1.988314692,5.920891216899999
2.642067208,-1.433668427,-2.068228004,2.578897507,5.5016611911
2.652084208,-0.1561459471,-4.991817119,3.032166063,5.2193170861
