Time (s),Absolute acceleration (m/s^2)
0.004976541666,1.957414883266667
0.01493054167,1.957414883266667
0.02488454166,1.957414883266667
0.03483854167,1.957414883266667
0.04479254167,1.957414883266667
0.05474654167,1.957414883266667
0.06470154167,1.957414883266667
0.07465554167,1.957414883266667
0.08460954167,1.957414883266667
0.09456354166,1.957414883266667
0.1045175417,1.957414883266667
0.1144715417,1.957414883266667
0.1244265417,1.957414883266667
0.1343805417,1.957414883266667
0.1443345417,1.957414883266667
0.1542885417,1.957414883266667
0.1642425417,1.957414883266667
0.1741965417,1.957414883266667
0.1841515417,1.957414883266667
0.1941055417,1.957414883266667
0.2040595417,1.957414883266667
0.2140135417,1.957414883266667
0.2239675417,1.957414883266667
0.2339215417,1.957414883266667
0.2438755417,1.957414883266667
0.2538305417,1.957414883266667
0.2637845417,1.957414883266667
0.2737385417,1.957414883266667
0.2836925417,1.957414883266667
0.2936465417,1.957414883266667
0.3036005417,1.957414883266667
0.3135555417,1.957414883266667
0.3235095417,1.957414883266667
0.3334635417,1.957414883266667
0.3434175417,1.957414883266667
0.3533715417,1.957414883266667
0.3633255417,1.957414883266667
0.3732805417,1.957414883266667
0.3832345417,1.957414883266667
0.3931885417,1.957414883266667
0.4031425417,1.957414883266667
0.4130965417,1.957414883266667
0.4230505417,1.957414883266667
0.4330055417,1.957414883266667
0.4429595417,1.957414883266667
0.4529135417,1.957414883266667
0.4628675417,1.957414883266667
0.4728215417,1.957414883266667
0.4827755417,1.957414883266667
0.4927295417,1.957414883266667
0.5026845417,1.957414883266667
0.5126385417,1.9684929379764706
0.5225925417,1.9715224713686275
0.5325465417,1.9799051678588235
0.5425005417,1.9885668436431374
0.5524545417,2.0069862958
0.5624095417,2.035477923662745
0.5723635417,2.064328186407843
0.5823175417,2.094149961407843
0.5922715417,2.1241493325254903
0.6022255417,2.1528309054666663
0.6121795417,2.1822709100941178
0.6221345417,2.207440506898039
0.6320885417,2.2242665073490193
0.6420425417,2.2394421637019604
0.6519965417,2.256208429407843
0.6619505417,2.3030091529960783
0.6719045417,2.386744604447059
0.6818595417,2.487012806290196
0.6918135417,2.5741208653098036
0.7017675417,2.617060718917647
0.7117215417,2.6365362688
