Time (s),Absolute acceleration (m/s^2)
0.008266500023,2.2235147544784315
0.01828650001,2.2235147544784315
0.0283065,2.2235147544784315
0.03832649998,2.2235147544784315
0.04834649997,2.2235147544784315
0.05836650002,2.2235147544784315
0.0683855,2.2235147544784315
0.07840549998,2.2235147544784315
0.08842550003,2.2235147544784315
0.09844550001,2.2235147544784315
0.1084655,2.2235147544784315
0.1184855,2.2235147544784315
0.1285045,2.2235147544784315
0.1385245,2.2235147544784315
0.1485445,2.2235147544784315
0.1585645,2.2235147544784315
0.1685845,2.2235147544784315
0.1786045,2.2235147544784315
0.1886245,2.2235147544784315
0.1986435,2.2235147544784315
0.2086635,2.2235147544784315
0.2186835,2.2235147544784315
0.2287035,2.2235147544784315
0.2387235,2.2235147544784315
0.2487435,2.2235147544784315
0.2587625,2.2235147544784315
0.2687825,2.2235147544784315
0.2788025,2.2235147544784315
0.2888225,2.2235147544784315
0.2988425,2.2235147544784315
0.3088625,2.2235147544784315
0.3188815,2.2235147544784315
0.3289015,2.2235147544784315
0.3389215,2.2235147544784315
0.3489415,2.2235147544784315
0.3589615,2.2235147544784315
0.3689815,2.2235147544784315
0.3790005,2.2235147544784315
0.3890205,2.2235147544784315
0.3990405,2.2235147544784315
0.4090605,2.2235147544784315
0.4190805,2.2235147544784315
0.4291005,2.2235147544784315
0.4391230833,2.2235147544784315
0.4491420834,2.2235147544784315
0.4591620833,2.2235147544784315
0.4691820833,2.2235147544784315
0.4792020833,2.2235147544784315
0.4892220834,2.2235147544784315
0.4992420833,2.2235147544784315
0.5092610833,2.2235147544784315
0.5192810833,2.276910738184314
0.5293010834,2.322267707690196
0.5393210833,2.3209420600960784
0.5493410833,2.3291331065137255
0.5593610833,2.348998520382353
0.5693800834,2.399365528947059
0.5794000833,2.458554461917647
0.5894200833,2.4826604159607846
0.5994400833,2.6436091228313723
0.6094600834,2.853189952537255
0.6194800833,2.96093232112549
0.6294990833,3.0943332283019607
0.6395190833,3.1913758017137255
0.6495390834,3.2426015573607843
0.6595590833,3.3176309732039218
0.6695790833,3.4033987162039216
0.6795990833,3.5023364637333336
0.6896180834,3.6247716208705882
0.6996380833,3.7710346693019607
0.7096580833,3.936498775635294
0.7196780833,4.085772576341176
0.7296980833,4.220220039596078
0.7397180834,4.359570121556863
0.7497370833,4.5021621482784315
0.7597570833,4.646743430656863
0.7697770833,4.746979675539215
0.7797970833,4.824478722343137
0.7898170833,4.891181953656862
0.7998370833,4.946871692892157
0.8098560834,5.004918693401961
0.8198760833,5.048594172107843
0.8298960833,5.099532032911765
0.8399160833,5.16766872432353
0.8499360833,5.222000930931372
0.8599560834,5.286168480303921
0.8699750833,5.339857213519608
0.8799950833,5.382787673735295
0.8900150833,5.40882365267647
0.9000350834,5.375465901382353
0.9100550833,5.280715071264706
0.9200750833,5.217083454205883
0.9300940833,5.223408491578432
0.9401140834,5.359131206911766
0.9501340833,5.581307721970588
0.9601540833,6.116240449382353
0.9701740833,6.844463157931373
0.9801940834,7.726026119460784
0.9902130833,8.681332792656862
1.000233083,9.58411236785294
1.010253083,10.376433283480392
1.020273083,11.060257734950982
1.030293083,11.672927339205883
1.040313083,12.24843894440196
1.050332083,12.822261788176469
1.060352083,13.341501959843136
1.070372083,13.767661152294117
1.080392083,14.057092277411765
1.090412083,14.23380251862745
1.100432083,14.343746418647058
1.110451083,14.225967991725488
1.120471083,14.023579296058825
1.130491083,13.958756583980392
1.140511083,13.905659362215687
1.150531083,13.90228855162745
1.160551083,13.942719672666666
1.170570083,13.986773621960783
1.180590083,14.041576590294119
1.190610083,14.105817087568628
1.200630083,14.166834808843138
1.210650083,14.228008488549019
1.220669083,14.288010796666667
1.230689083,14.37129150562745
1.240709083,14.487696248294117
1.250729083,14.624811080294117
1.260749083,14.790169576313726
1.270769083,14.999464666764705
1.280788083,15.291511800333334
1.290808083,15.639885495215685
1.300828083,16.02984566119608
1.310848083,16.442999097117646
1.320868083,16.82597439527451
1.330888083,17.15649104864706
1.340907083,17.44826002337255
1.350927083,17.724005631098038
1.360947083,17.98734855737255
1.370967083,18.230443269882354
1.380987083,18.463470609215687
1.391006083,18.690187642705883
1.401026083,18.91563251247059
1.411046083,19.160687585372546
1.421066083,19.430231475725492
1.431086083,19.664430191470586
1.44110325,19.838405911215688
1.45112225,19.89795736809804
1.46114225,19.74493917417647
1.47116225,19.33270804378431
1.48118225,18.694650421509806
1.49120225,17.889441699686273
1.50122125,16.998201032882353
1.51124125,16.156002259705883
1.52126125,15.420919694941176
1.53128125,14.750201977941176
1.54130125,14.102533778313726
1.55132125,13.56119090782353
1.56134025,13.158042411372548
1.57136025,12.943413832941177
1.58138025,13.066998272549021
1.59140025,13.54383454509804
1.60142025,14.24489299882353
1.61144025,15.082826139117648
1.62145925,15.960836089333334
1.63147925,16.745350709705882
1.64149925,17.33733093947059
1.65151925,17.72476960590196
1.66153925,17.91599367084314
1.67155825,17.940742618568628
1.68157825,17.85587532007843
1.69159825,17.768148279960783
1.70161825,17.694966821470587
1.71163825,17.622533345882353
1.72165725,17.545679684764707
1.73167725,17.463382977039213
1.74169725,17.372925999235296
1.75171725,17.26694515437255
1.76173725,17.144532205666668
1.77175725,17.003497358294116
1.78177625,16.81731737437255
1.79179625,16.56714214162745
1.80181625,16.263590269333335
1.81183625,15.915668527725488
1.82185625,15.549233789196078
1.83187525,15.212104473705882
1.84189525,14.91460675354902
1.85191525,14.637253701352941
1.86193525,14.35785454045098
1.87195525,14.071984485078431
1.88197525,13.791444909941177
1.89199425,13.527736324549018
