"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.285068333E-1	8.434705789E-1	7.555965024E-1	-7.668231565E-1	1.367620724E0
6.384988333E-1	1.966123340E0	1.070862291E0	-1.222658640E-1	2.242172155E0
6.484908333E-1	3.051608639E0	1.646217493E0	9.766118985E-1	3.602237933E0
6.584818333E-1	2.890139533E0	1.527874234E0	1.349910425E0	3.536886251E0
6.684738333E-1	2.130280849E0	1.182457278E0	1.405300514E0	2.812680438E0
6.784658333E-1	1.240830325E0	1.351290660E0	6.314788252E-1	1.940209228E0
6.884568333E-1	1.548125079E-1	1.449978212E0	-2.864053935E-1	1.486079331E0
6.984488333E-1	-2.479008206E-1	1.721102784E0	-1.043399380E0	2.027888527E0
7.084408333E-1	-1.047063830E-1	1.953193684E0	-1.448979215E0	2.434228781E0
7.184318333E-1	5.352042368E-2	2.238483721E0	-1.211036130E0	2.545639863E0
7.284238333E-1	3.770582130E-1	2.607142774E0	-3.293724883E-1	2.654779196E0
7.384158333E-1	9.295858859E-1	2.562527349E0	1.105940614E0	2.941730949E0
7.484068333E-1	1.727075861E0	1.857546684E0	3.075952352E0	3.986822493E0
7.583988333E-1	2.473228672E0	1.260427268E0	4.850136745E0	5.588323846E0
7.683908333E-1	2.741112717E0	1.264461554E0	5.502615845E0	6.276252313E0
7.783818333E-1	2.528483690E0	1.473107458E0	5.364403455E0	6.110654611E0
7.883738333E-1	2.113621693E0	1.460262879E0	4.994027951E0	5.616055512E0
7.983658333E-1	1.826405730E0	1.232335197E0	4.785418008E0	5.268266645E0
8.083568333E-1	1.649611071E0	8.791268268E-1	4.996519450E0	5.334724667E0
8.183488333E-1	1.525834725E0	3.710982192E-1	5.370971047E0	5.595821252E0
8.283408333E-1	1.408373518E0	-1.460415199E-1	5.470818686E0	5.651079648E0
8.383318333E-1	1.264878168E0	-6.119754374E-1	5.242940413E0	5.427969684E0
8.483238333E-1	1.078131403E0	-1.011727060E0	4.681595432E0	4.909510643E0
8.583158333E-1	8.304095071E-1	-1.377617602E0	3.883786125E0	4.203713225E0
8.683060833E-1	5.951378318E-1	-1.644049346E0	3.103628978E0	3.562246500E0
8.782980833E-1	4.112164043E-1	-1.743311533E0	2.434445552E0	3.022376412E0
8.882900833E-1	3.325543237E-1	-1.636287313E0	1.783014858E0	2.442779264E0
8.982810833E-1	4.633636642E-1	-1.406981735E0	9.543737680E-1	1.762138694E0
9.082730833E-1	6.497155599E-1	-1.115580480E0	-1.748709244E-1	1.302777785E0
9.182650833E-1	8.013302804E-1	-8.036381033E-1	-1.350019183E0	1.763665562E0
9.282560833E-1	9.308616753E-1	-6.142567286E-1	-2.383877077E0	2.631859553E0
9.382480833E-1	7.346527261E-1	-6.055388224E-1	-3.139465978E0	3.280646052E0
9.482400833E-1	4.041943368E-1	-6.326073378E-1	-3.631046076E0	3.707837741E0
9.582310833E-1	6.590456148E-2	-6.145414880E-1	-3.982856669E0	4.030527497E0
9.682230833E-1	-2.454513489E-1	-6.408823174E-1	-4.209511120E0	4.265086210E0
9.782150833E-1	-4.690287756E-1	-7.150318824E-1	-4.419787520E0	4.501753026E0
9.882060833E-1	-6.122434592E-1	-7.461221127E-1	-4.447261248E0	4.550788159E0
9.981980833E-1	-6.349162571E-1	-6.716987519E-1	-4.301282001E0	4.399468686E0
1.008190083E0	-4.133100729E-1	-5.626429175E-1	-4.145396985E0	4.203773119E0
1.018181083E0	-6.950007834E-2	-5.380031893E-1	-3.942895043E0	3.980037565E0
1.028173083E0	6.461713707E-2	-6.089003867E-1	-3.799975060E0	3.848992792E0
1.038165083E0	-6.958258803E-2	-5.189479905E-1	-3.750256770E0	3.786631035E0
1.048156083E0	-3.148229712E-1	-2.156879979E-1	-3.904346690E0	3.922952700E0
1.058148083E0	-5.285644676E-1	4.401783943E-3	-4.301146345E0	4.333504316E0
1.068140083E0	-6.218783549E-1	7.271948218E-2	-4.598522869E0	4.640951776E0
1.078131083E0	-6.328599375E-1	2.034211242E-1	-4.733320486E0	4.779771404E0
1.088123083E0	-6.176448246E-1	4.310032359E-1	-4.698941782E0	4.758918237E0
1.098115083E0	-4.625812702E-1	5.594051680E-1	-4.622293555E0	4.678943608E0
1.108106083E0	-3.608957049E-1	6.112313792E-1	-4.383350596E0	4.440451774E0
1.118098083E0	-6.051433679E-1	7.342448097E-1	-3.736626325E0	3.855864395E0
1.128090083E0	-6.492096296E-1	9.707936266E-1	-2.754567161E0	2.991914713E0
1.138081083E0	-7.343105178E-1	9.064342010E-1	-1.687448550E0	2.051418413E0
1.148073083E0	-9.323576854E-1	7.857327595E-1	-6.794248241E-1	1.395809770E0
1.158065083E0	-8.503317017E-1	8.877561477E-1	5.923989594E-2	1.230725130E0
1.168056083E0	-7.962800402E-1	1.139612390E0	7.782456923E-1	1.593249717E0
1.178048083E0	-6.162626159E-1	1.416688551E0	1.409439173E0	2.091244808E0
1.188040083E0	2.909521518E-2	1.586479707E0	2.060903782E0	2.600978429E0
1.198031083E0	7.737099340E-1	1.604073979E0	2.755996220E0	3.281340512E0
1.208023083E0	9.745180106E-1	1.554085840E0	3.220163986E0	3.705984923E0
1.218015083E0	5.179321099E-1	1.506861095E0	3.566836047E0	3.906559025E0
1.228006083E0	6.572562754E-3	1.356276873E0	3.714616236E0	3.954478972E0
1.237998083E0	-7.012086260E-1	1.095831071E0	3.950620970E0	4.159320295E0
1.247990083E0	-1.208420378E0	9.952206624E-1	4.272458151E0	4.550235448E0
1.257981083E0	-8.989642368E-1	1.245887874E0	4.301921686E0	4.568030592E0
1.267973083E0	-7.077640857E-1	1.467376894E0	4.117280649E0	4.427880406E0
1.277965083E0	-4.765998235E-1	1.761912549E0	4.360737074E0	4.727315417E0
1.287956083E0	-4.257999448E-1	1.813802787E0	4.470982232E0	4.843642045E0
