Time (s),Absolute acceleration (m/s^2)
0.01808316668,9.886335301058823
0.0280381667,9.886335301058823
0.03799416672,9.886335301058823
0.04795016674,9.886335301058823
0.05790616665,9.886335301058823
0.06786116667,9.886335301058823
0.07781716669,9.886335301058823
0.08777316671,9.886335301058823
0.09772916674,9.886335301058823
0.1076841668,9.886335301058823
0.1176401667,9.886335301058823
0.1275961667,9.886335301058823
0.1375521667,9.886335301058823
0.1475071667,9.886335301058823
0.1574631667,9.886335301058823
0.1674191667,9.886335301058823
0.1773751667,9.886335301058823
0.1873301667,9.886335301058823
0.1972861667,9.886335301058823
0.2072421667,9.886335301058823
0.2171981668,9.886335301058823
0.2271531667,9.886335301058823
0.2371091667,9.886335301058823
0.2470649583,9.886335301058823
0.2570209584,9.886335301058823
0.2669769584,9.886335301058823
0.2769319584,9.886335301058823
0.2868879584,9.886335301058823
0.2968439583,9.886335301058823
0.3067999583,9.886335301058823
0.3167549584,9.886335301058823
0.3267109584,9.886335301058823
0.3366669584,9.886335301058823
0.3466229584,9.886335301058823
0.3565779583,9.886335301058823
0.3665339584,9.886335301058823
0.3764899584,9.886335301058823
0.3864459584,9.886335301058823
0.3964009584,9.886335301058823
0.4063569583,9.886335301058823
0.4163129583,9.886335301058823
0.4262689584,9.886335301058823
0.4362239584,9.886335301058823
0.4461799584,9.886335301058823
0.4561359583,9.886335301058823
0.4660919583,9.886335301058823
0.4760469584,9.886335301058823
0.4860029584,9.886335301058823
0.4959589584,9.886335301058823
0.5059149584,9.886335301058823
0.5158699583,9.886335301058823
0.5258259583,9.894808775862746
0.5357819584,9.900088376392157
0.5457379584,9.90484459817647
0.5556929584,9.910829353431373
0.5656489583,9.91846618872549
0.5756049583,9.928032411313726
0.5855609584,9.931259723313726
0.5955159584,9.92020533590196
0.6054719584,9.896837305666667
0.6154279584,9.86909599745098
0.6253839583,9.842879677411766
0.6353389584,9.819362377627451
0.6452949584,9.800708767254902
0.6552509584,9.788537455333334
0.6652069584,9.781997293039217
0.6751619583,9.779449379392156
0.6851179583,9.780124456058823
0.6950739584,9.784382390372548
0.7050299584,9.792192105941176
0.7149859584,9.802154650392156
0.7249409583,9.812775335254901
0.7348969583,9.822139127098039
0.7448529584,9.829117171058824
0.7548089584,9.831939628823529
0.7647639584,9.831798686627451
0.7747199584,9.830327984725491
0.7846759583,9.830334389745099
0.7946319584,9.832637645333334
0.8045869584,9.836044586215687
0.8145429584,9.839583028705881
0.8244989584,9.84236750037255
0.8344549583,9.845102279392158
0.8444099583,9.84945282054902
0.8543659584,9.852154752999999
0.8643219584,9.850218199470588
0.8742779584,9.846671696529413
0.8842329584,9.843809655254901
0.8941889583,9.840081980568627
0.9041449584,9.835501293588235
0.9141009584,9.830235410568628
0.9240559584,9.825412365784313
0.9340119584,9.821648084686275
